letter	IPA
aa	aja
tr	ʈ
ng	ŋ
lr	ɮ
z	ʐ
'	ɦ
d	ð
l	ɭ
y	j
e	ə
p	p
b	b
t	t
c	c
k	k
g	g
q	q
v	v
s	s
h	h
m	m
n	n
r	r
w	w
i	i
a	a
u	u
o	o
