letter	IPA
dh	ð
ng	ŋ
lr	ɭ
dr	ɖ
e	ə
'	ʔ
c	ts
p	p
b	b
t	t
d	d
k	k
g	g
q	q
v	v
s	s
z	z
h	h
m	m
n	n
l	l
r	r
w	w
y	y
i	i
é	é
ɨ	ɨ
a	a
u	u
o	o
