letter	IPA
dj	ɟ
dr	ɖ
lj	l
ng	ŋ
tj	c
e	ə
c	ts
l	ɾ
y	j
'	ʔ
p	p
b	b
t	t
d	d
k	k
g	g
q	q
v	v
s	s
z	z
h	h
m	m
n	n
r	r
w	w
i	i
u	u
a	a
o	o
