letter	Zhiben
ng	ŋ
l	ɮ
T	ʈ
p	p
t	t
d	d
k	k
H	[ʔ|R]
R	R
c	ʦ
v	v
s	s
z	ð
h	h
m	m
n	n
r	r
L	ɭ
w	w
y	y
i	i
a	a
u	u
e	ə
