letter	IPA
ng	ŋ
eo	œ
ae	æ
th	s~θ
dh	z~ð
sh	ʃ
p	p
b	β
t	t
k	k
'	ʔ
h	h
m	m
n	n
r	r
l	l
w	w
y	j
i	i
e	ə
a	a
o	o
