letter	IPA
ng	ŋ
p	p
b	b
t	t
d	ɖ
k	k
g	g
'	ʔ
v	v
c	c
j	ʥ
s	ʂ
z	ʐ
R	ʁ
m	m
n	n
r	r
l	l
w	w
y	j
i	i
e	ə
a	a
o	[o|u]
