original	standard	note
ʼ	'	ASCII apostrophe
‘	'	ASCII apostrophe
’	'	ASCII apostrophe
è	è	preserve source grapheme
í	í	preserve source grapheme
ē	ē	preserve source grapheme
ǔ	ǔ	preserve source grapheme
=		remove null marker
