source_s_id	output_s_ids	status	reason
S518_1	S518_1	included	source_record_preserved
S517_1	S517_1	included	source_record_preserved
S516_1	S516_1	included	source_record_preserved
S515_1	S515_1	included	source_record_preserved
S514_1	S514_1	included	source_record_preserved
S513_1	S513_1	included	source_record_preserved
S512_1	S512_1	included	source_record_preserved
S511_1	S511_1	included	source_record_preserved
S510_1	S510_1	included	source_record_preserved
S509_1	S509_1	included	source_record_preserved
S508_1	S508_1	included	source_record_preserved
S507_1	S507_1	included	source_record_preserved
S506_1	S506_1	included	source_record_preserved
S505_1	S505_1	included	source_record_preserved
S504_1	S504_1	included	source_record_preserved
S503_1	S503_1	included	source_record_preserved
S502_1	S502_1	included	source_record_preserved
S501_1	S501_1	included	source_record_preserved
S500_1	S500_1	included	source_record_preserved
S499_1	S499_1	included	source_record_preserved
S498_1	S498_1	included	source_record_preserved
S497_1	S497_1	included	source_record_preserved
S496_1	S496_1	included	source_record_preserved
S495_1	S495_1	included	source_record_preserved
S494_1	S494_1	included	source_record_preserved
S493_1	S493_1	included	source_record_preserved
S492_1	S492_1	included	source_record_preserved
S491_1	S491_1	included	source_record_preserved
S490_1	S490_1	included	source_record_preserved
S489_1	S489_1	included	source_record_preserved
S488_1	S488_1	included	source_record_preserved
S487_1	S487_1	included	source_record_preserved
S486_1	S486_1	included	source_record_preserved
S485_1	S485_1	included	source_record_preserved
S484_1	S484_1	included	source_record_preserved
S483_1	S483_1;S483_1b	expanded_source_alternatives	split_abar_yasi
S482_1	S482_1	included	source_record_preserved
S481_1	S481_1	included	source_record_preserved
S479_1	S479_1	included	source_record_preserved
S478_1	S478_1	included	source_record_preserved
S477_1	S477_1	included	source_record_preserved
S476_1	S476_1	included	source_record_preserved
S475_1	S475_1	included	source_record_preserved
S474_1	S474_1	included	source_record_preserved
S473_1	S473_1	included	source_record_preserved
S472_1	S472_1	included	source_record_preserved
S471_1	S471_1	included	source_record_preserved
S470_1	S470_1	included	source_record_preserved
S469_1	S469_1	included	source_record_preserved
S468_1	S468_1	included	source_record_preserved
S467_1	S467_1	included	source_record_preserved
S466_1	S466_1	included	source_record_preserved
S465_1	S465_1	included	source_record_preserved
S464_1	S464_1	included	source_record_preserved
S463_1	S463_1	included	source_record_preserved
S462_1	S462_1	included	source_record_preserved
S461_1	S461_1	included	source_record_preserved
S460_1	S460_1	included	source_record_preserved
S459_1	S459_1	included	source_record_preserved
S458_1	S458_1	included	source_record_preserved
S457_1	S457_1	included	source_record_preserved
S456_1	S456_1	included	source_record_preserved
S455_1	S455_1	included	source_record_preserved
S454_1	S454_1	included	source_record_preserved
S453_1	S453_1	included	source_record_preserved
S452_1	S452_1	included	source_record_preserved
S451_1	S451_1	included	source_record_preserved
S450_1	S450_1	included	source_record_preserved
S449_1	S449_1	included	source_record_preserved
S448_1	S448_1	included	source_record_preserved
S447_1	S447_1	included	source_record_preserved
S446_1	S446_1	included	source_record_preserved
S445_1	S445_1	included	source_record_preserved
S444_1	S444_1	included	source_record_preserved
S443_1	S443_1	included	source_record_preserved
S442_1	S442_1	included	source_record_preserved
S441_1	S441_1	included	source_record_preserved
S440_1	S440_1	included	source_record_preserved
S439_1	S439_1	included	source_record_preserved
S438_1	S438_1	included	source_record_preserved
S437_1	S437_1	included	source_record_preserved
S436_1	S436_1	included	source_record_preserved
S435_1	S435_1	included	source_record_preserved
S434_1	S434_1	included	source_record_preserved
S433_1	S433_1	included	source_record_preserved
S432_1	S432_1	included	source_record_preserved
S431_1	S431_1	included	source_record_preserved
S430_1	S430_1	included	source_record_preserved
S429_1	S429_1	included	source_record_preserved
S428_1	S428_1	included	source_record_preserved
S427_1	S427_1	included	source_record_preserved
S426_1	S426_1	included	source_record_preserved
S425_1	S425_1	included	source_record_preserved
S424_1	S424_1	included	source_record_preserved
S423_1	S423_1	included	source_record_preserved
S422_1	S422_1	included	source_record_preserved
S421_1	S421_1	included	source_record_preserved
S420_1	S420_1	included	source_record_preserved
S419_1	S419_1	included	source_record_preserved
S418_1	S418_1	included	source_record_preserved
S417_1	S417_1	included	source_record_preserved
S416_1	S416_1	included	source_record_preserved
S415_1	S415_1	included	source_record_preserved
S414_1	S414_1	included	source_record_preserved
S413_1	S413_1	included	source_record_preserved
S412_1	S412_1	included	source_record_preserved
