language,standard_orthography
Amis,Ortho113
Atayal,Ortho113
Bunun,Ortho113
Kanakanavu,Ortho113
Kavalan,Ortho113
Paiwan,Ortho113
Pazeh,Ortho113
Puyuma,Ortho113
Rukai,Ortho113
Saaroa,Ortho113
Saisiyat,Ortho113
Sakizaya,Ortho113
Seediq,Ortho113
Siraya,
Thao,Ortho113
Tsou,Ortho113
Yami,Ortho113
Babuza-Favorlang,
