ISO639-3,Language,Notes
ami,Amis,
tay,Atayal,
bnn,Bunun,
xnb,Kanakanavu,
ckv,Kavalan,
pwn,Paiwan,
pyu,Puyuma,
dru,Rukai,
sxr,Saaroa,
xsy,Saisiyat,
szy,Sakizaya,
trv,Seediq,"covers both Seediq and Truku; dialect=""Truku"" resolves to Truku"
ssf,Thao,
tsu,Tsou,
tao,Yami,
fos,Siraya,historical
pzh,Pazeh,no published data yet
bzg,Babuza-Favorlang,historical (Latham-1862)
