letter	default
ng	ŋ
p	p
t	t
k	k
?	ʡ
^	ʔ
ts	ʦ
f	f
b	[b|v]
v	[b|v]
d	[ɬ|ɮ]
s	s
x	x
h	ħ
m	m
n	n
ř	r
r	ɾ
l	d
w	w
y	j
i	i
e	ə
a	a	
u	[o|u]	
o	[o|u]
:	:
