rule_id,file,s_id,character,position,form_before,form_after
c012,XML/Sentences/Bunun/Bunun.xml,47_S_7,-,6,,
c012,XML/Sentences/Bunun/Bunun.xml,47_S_7,-,10,,
c012,XML/Sentences/Bunun/Bunun.xml,51_S_24,-,2,,
c012,XML/Sentences/Bunun/Bunun.xml,51_S_24,-,4,,
c012,XML/Sentences/Bunun/Bunun.xml,49_S_1,-,2,,
c012,XML/Sentences/Bunun/Bunun.xml,03-4_S_14,-,9,,
c012,XML/Sentences/Bunun/Bunun.xml,03-4_S_14,-,11,,
c012,XML/Sentences/Bunun/Bunun.xml,59_S_9,-,48,,
