letter	Coastal	default
ng	ŋ	ŋ
p	p	p
t	t	t
k	k	k
'	ʡ	ʡ
^	ʔ	ʔ
c	ʦ	ʦ
f	f	f
d	[ɬ|ɮ]	[ɬ|ɮ]
s	s	s
x	x	x
h	ħ	ħ
m	m	m
n	n	n
r	r	r
l	ɾ	ɾ
w	w	w
y	j	j
i	i	i
e	ə	ə
a	a	a
u	[o|u]	[o|u]
o	[o|u]	[o|u]
:	:	:
