original	standard	evidence
u	o	Coastal Ortho113 uses o; source u/u remains distinct in original PHON
'	^	Wu dissertation xviii distinguishes apostrophe/ʔ from q/ʡ; example 5.27a repeats paper 36a
q	'	Wu dissertation xviii gives q/ʡ; no q occurs in the current corpus
