word_id	index	id	replaces	reason
s32aw0	0	s32aw0m_a	s32aw0m0	Page 8 example 32a: first of two printed parts replaces the false whole-word M.
s32aw0	1	s32aw0m_b	s32aw0m0	Page 8 example 32a: second printed part; neither part has an individually aligned gloss.
