letter	Maolin	Dona
a	a	a
b	b	b
c	ʦ	ʦ
d	d	d
e	ə	NA
g	g	g
i	i	i
k	k	k
l	l	l
m	m	m
n	n	n
o	o	o
p	p	p
r	r	NA
s	s	s
t	t	t
u	u	NA
v	v	v
w	w	w
y	j	j
ɨ	ɨ	NA
ə	NA	ə
ŋ	ŋ	ŋ
ɖ	ɖ	ɖ
ʔ	NA	ʔ
