file,text_id,kind,blocks,source_url,published_prefix_length,published_prefix_sha256,notes_sha256,section_annotations,excluded_urls
Seediq/Mb’ala.xml,Wiki_Seediq_Mb’ala,body,1,https://trv.wikipedia.org/w/index.php?oldid=100689,334,e0eebaf7efb237217d04c5c7df63f064b15d9c2dd190390e0c742f3fc05cfd6f,b3b2e6e1f11c5fcdd192b0cacdcfcf39723d48e45cdf33bf6ccca188bc58577f,12,[]
Seediq/Nakahara.xml,Wiki_Seediq_Nakahara,body,1,https://trv.wikipedia.org/w/index.php?oldid=100722,1396,34727db42c9b8b3502cb85930d6394af0a98198210a4353608665e94c4188ffc,14f29d75966e78afce1464c9ef2ecd7e98cfedd1f246d6c68599284b479137ba,12,[]
Seediq/Pratan.xml,Wiki_Seediq_Pratan,body,1,https://trv.wikipedia.org/w/index.php?oldid=100793,373,2f7242d89914b57324527135e2b85f7794fa1e3e00807b88fc61a6ac69c4d561,a984a522399dabcefba1f72fdcba2bcfb7fbfe7036b1b9f2effba1d532095b42,12,[]
Seediq/Qnragan.xml,Wiki_Seediq_Qnragan,body,1,https://trv.wikipedia.org/w/index.php?oldid=100819,320,d1044b57bf4d2b376686ed4ec0024144b60eff5f2ebaf13ad50977e482fc2d26,e007687972f1605204ee60bc05e49b3c8b995bfe030a6c1075650ddadc387e45,12,[]
Seediq/Smangus.xml,Wiki_Seediq_Smangus,credit,1,https://trv.wikipedia.org/w/index.php?oldid=106907,4884,23a2dfca2f4e47367bd872a238f7bd8dffa4e4c1c8ffb7a27e28a37fd8f19c6e,1c52d89b698929e0aa58aa0ab45f8f656a7a5587c69787f1296dcc2a25fa8d12,0,[]
Seediq/Syanox.xml,Wiki_Seediq_Syanox,body,1,https://trv.wikipedia.org/w/index.php?oldid=100931,309,45b34db92a5675217a5025a217616f7fa9ed7a49e6ed265e8f8a3625873dc74b,230198da25f932db83b26058abc4bfd758f7b618441346703a1e279935509f81,11,[]
Seediq/Thgahan.xml,Wiki_Seediq_Thgahan,body,1,https://trv.wikipedia.org/w/index.php?oldid=100983,349,b40325ee51cd46031e8fdb7688b3cc52c9f6683352d4649e8f3a2ee5b56c4aa2,bea282ac1bf53bdc85dc403e0c0cfdb26b4773f63934f974785017f3b2b53f32,11,"[""http://www.wanrung.gov.tw/web/wanrong/index.asp""]"
Seediq/Tkijig.xml,Wiki_Seediq_Tkijig,body,2,https://trv.wikipedia.org/w/index.php?oldid=101020,332,6258419eaea8bec599b8253b5d64cffd9297ef1c435cebb2b64901adb29b0adb,7f49795e84509c7a2c544bc6a80d916ac89530824f522c5247014b0b84165669,24,"[""http://www.hl.gov.tw/bus/"", ""http://www.hl.gov.tw/bus/"", ""http://www.hl.gov.tw/bus/"", ""http://www.hl.gov.tw/bus/""]"
Seediq/Tmunan.xml,Wiki_Seediq_Tmunan,body,1,https://trv.wikipedia.org/w/index.php?oldid=101021,317,493103489e7e33bb323c6e928694b869ecf593de6fd6f49fe470898c26b44d62,e007687972f1605204ee60bc05e49b3c8b995bfe030a6c1075650ddadc387e45,12,[]
Seediq/Tongan.xml,Wiki_Seediq_Tongan,body,1,https://trv.wikipedia.org/w/index.php?oldid=101025,346,db3a52bcf7e147a6945dcee29ceff32207365c50fc85f279b143a0afea3ba1e6,d599ce8f50917ce08a5c7b14a39fe141273a9fc4ca269a1a296362cf5617ae35,11,[]
Seediq/Tpuqu.xml,Wiki_Seediq_Tpuqu,body,1,https://trv.wikipedia.org/w/index.php?oldid=101029,305,2f085fa43eccac187e18b11df77557ee99486457c1b34b4637fc8be4a84af929,e007687972f1605204ee60bc05e49b3c8b995bfe030a6c1075650ddadc387e45,12,[]
