file,text_id,retained,retained_id,canonical_title,original_sha256,source_titles,evidence,reason
Sakizaya/sema’.xml,Wiki_Sakizaya_sema’,Sakizaya/sema'.xml,Wiki_Sakizaya_sema',sema',7323137f368771ca398efb9acbdd240b4b8d8dfe56296efee840d225dd339023,sema’,https://szy.wikipedia.org/w/index.php?oldid=137154 | https://szy.wikipedia.org/w/index.php?oldid=137156,The pre-scrape source title redirects to the same retained article
Sakizaya/taludu’ay_a_limecedan.xml,Wiki_Sakizaya_taludu’ay_a_limecedan,Sakizaya/taludu'ay_a_limecedan.xml,Wiki_Sakizaya_taludu'ay_a_limecedan,taludu'ay a limecedan,cc5790ab9df2c06a71fab301782717a2afdbe9edad1816950343843199cbeac1,taludu’ay a limecedan,https://szy.wikipedia.org/w/index.php?oldid=127933 | https://szy.wikipedia.org/w/index.php?oldid=127936,The pre-scrape source title redirects to the same retained article
Sakizaya/tanayu’.xml,Wiki_Sakizaya_tanayu’,Sakizaya/tanaya’.xml,Wiki_Sakizaya_tanaya’,tanaya’,0faa372b483ba4c07e4062d67cab252e0dc3f6a012a6cb693a4e49cce32f0912,tanayu’,https://szy.wikipedia.org/w/index.php?oldid=100940 | https://szy.wikipedia.org/w/index.php?oldid=100941,The pre-scrape source title redirects to the same retained article
Sakizaya/tanayu’ay_padahaw_a_sinaama.xml,Wiki_Sakizaya_tanayu’ay_padahaw_a_sinaama,Sakizaya/tanayuay_padahaw_a_sinaama.xml,Wiki_Sakizaya_tanayuay_padahaw_a_sinaama,tanayuay padahaw a sinaama,b58116d1e77d37eda48595206df04c9ef5af62940e443c6c6bced4d4571b8de4,tanayu’ay padahaw a sinaama,https://szy.wikipedia.org/w/index.php?oldid=127941 | https://szy.wikipedia.org/w/index.php?oldid=128572,The pre-scrape source title redirects to the same retained article
Sakizaya/tuwapay(拉車).xml,Wiki_Sakizaya_tuwapay(拉車),Sakizaya/tuwapay.xml,Wiki_Sakizaya_tuwapay,tuwapay,37c22f8b470fc7acd0a9c46fb9edf816ab5a25862799edd280f88c4826484965,tuwapay(拉車),https://szy.wikipedia.org/w/index.php?oldid=82466 | https://szy.wikipedia.org/w/index.php?oldid=82462,The pre-scrape source title redirects to the same retained article
Sakizaya/u_(卡拉)_OK_hanany_a_sadadiwan_nu_sikaidaw.xml,Wiki_Sakizaya_u_(卡拉)_OK_hanany_a_sadadiwan_nu_sikaidaw,Sakizaya/u_kala_OK_hanany_a_sadadiwan_nu_sikaidaw.xml,Wiki_Sakizaya_u_kala_OK_hanany_a_sadadiwan_nu_sikaidaw,u kala OK hanany a sadadiwan nu sikaidaw,7a2ccd9c3962373c3161a1a8c6f2ded8390c3418b3a863fd8785932f0be57352,u (卡拉) OK hanany a sadadiwan nu sikaidaw,https://szy.wikipedia.org/w/index.php?oldid=82468 | https://szy.wikipedia.org/w/index.php?oldid=82991,The pre-scrape source title redirects to the same retained article
Sakizaya/u_ciyakuun_(甲骨文)_hananay_a_lalangawan_nikaidaw.xml,Wiki_Sakizaya_u_ciyakuun_(甲骨文)_hananay_a_lalangawan_nikaidaw,Sakizaya/u_cya-ku-wen_(甲骨文)_hananay_a_lalangawan_nikaidaw.xml,Wiki_Sakizaya_u_cya-ku-wen_(甲骨文)_hananay_a_lalangawan_nikaidaw,u cya-ku-wen (甲骨文) hananay a lalangawan nikaidaw,5e7a922f90f9cc933291d1f9c8fd5f2da4eabfc1169f12f1e39a4906d13066c1,u ciyakuun (甲骨文) hananay a lalangawan nikaidaw,https://szy.wikipedia.org/w/index.php?oldid=96775 | https://szy.wikipedia.org/w/index.php?oldid=96810,The pre-scrape source title redirects to the same retained article
Sakizaya/u_ciyakuun（甲骨文）hananay_a_lalangawan_nikaidaw.xml,Wiki_Sakizaya_u_ciyakuun（甲骨文）hananay_a_lalangawan_nikaidaw,Sakizaya/u_cya-ku-wen_(甲骨文)_hananay_a_lalangawan_nikaidaw.xml,Wiki_Sakizaya_u_cya-ku-wen_(甲骨文)_hananay_a_lalangawan_nikaidaw,u cya-ku-wen (甲骨文) hananay a lalangawan nikaidaw,5e7a922f90f9cc933291d1f9c8fd5f2da4eabfc1169f12f1e39a4906d13066c1,u ciyakuun（甲骨文）hananay a lalangawan nikaidaw,https://szy.wikipedia.org/w/index.php?oldid=131282 | https://szy.wikipedia.org/w/index.php?oldid=96810,The pre-scrape source title redirects to the same retained article
Sakizaya/u_kapawanan_a_niyadu'.xml,Wiki_Sakizaya_u_kapawanan_a_niyadu',Sakizaya/u_kapawanan_a_niyadu'_Kasiwsiwan.xml,Wiki_Sakizaya_u_kapawanan_a_niyadu'_Kasiwsiwan,u kapawanan a niyadu': Kasiwsiwan,6f7bf54b1965345705fe7d1e384aed2c7d8f576f492a6dc98aa37880295f37d8,u kapawanan a niyadu',https://szy.wikipedia.org/w/index.php?oldid=93542 | https://szy.wikipedia.org/w/index.php?oldid=93544,The pre-scrape source title redirects to the same retained article
Sakizaya/u_諾曼第登陸hananay_nikalalais_sakatusaay_nu_kitakit_satabakiyay_masasungayaw.xml,Wiki_Sakizaya_u_諾曼第登陸hananay_nikalalais_sakatusaay_nu_kitakit_satabakiyay_masasungayaw,Sakizaya/u_諾曼第登陸_hananay_nikalalais_sakatusaay_nu_kitakit_satabakiyay_masasungayaw.xml,Wiki_Sakizaya_u_諾曼第登陸_hananay_nikalalais_sakatusaay_nu_kitakit_satabakiyay_masasungayaw,u 諾曼第登陸 hananay nikalalais sakatusaay nu kitakit satabakiyay masasungayaw,ed3d9466d3bc0723017c8fc1d93f5004c68af2a48c882e1b14acfe32df19b633,u 諾曼第登陸hananay nikalalais sakatusaay nu kitakit satabakiyay masasungayaw,https://szy.wikipedia.org/w/index.php?oldid=83642 | https://szy.wikipedia.org/w/index.php?oldid=128554,The pre-scrape source title redirects to the same retained article
