rule,file,text_id,s_id,original_sha256,marker,count
V146,Amis/Mozambique.xml,Wiki_Amis_Mozambique,0,a86e79349c5bfdc872fb62186e5ad55931262667506d23b2cbc7b6b11b8dec8b,|,1
V146,Amis/Nauru.xml,Wiki_Amis_Nauru,0,28dd07d7a3e87b034000430f09934aad36f1dbfd59c2b3623f42f58484604c86,|,6
V146,Amis/Solomon.xml,Wiki_Amis_Solomon,0,dcf5a994f0f4a6b15356d64dea62b67db6dbdf17def0ae5d0872b55288776d4b,|,2
V146,Amis/Solomon_Island.xml,Wiki_Amis_Solomon_Island,0,bfc8a98942b74a78e10581f1d710c59cbab81405f1236125a62a10f9f02e7ee5,|,2
V146,Amis/Sudan.xml,Wiki_Amis_Sudan,0,79fcc581280fef6505e88a31c914a8039d1152eca1e3d1cef62afbf059a4a118,|,2
V146,Atayal/Andorra.xml,Wiki_Atayal_Andorra,0,3d304c372c0d8bba2034b87d13c3d6e0d2494b57f42e40201ad8ad6bb4d3e0d9,|,4
V146,Atayal/Bahamas.xml,Wiki_Atayal_Bahamas,0,7a566072e8ed658edb550a459b51925314e40c0a4f39eac93d56988ef36779eb,|,1
V146,Atayal/Cilamitay.xml,Wiki_Atayal_Cilamitay,0,712f0d0f780be4baa2f5674c121d812a82e48d1c115790e0231b09f5981dd5ad,|,2
V146,Atayal/Juan_Orlando_Hernández.xml,Wiki_Atayal_Juan_Orlando_Hernández,0,de60cf4a6b12137b2e9ac4a7c4250e7c195068f4a1e3709eb87bf52ffe37a3df,|,1
V146,Atayal/Kenya.xml,Wiki_Atayal_Kenya,0,09961615befdb5daa80336e1e8249871415555be7fa83cbfe15376107a1d719e,|,1
V146,Atayal/Kuwait.xml,Wiki_Atayal_Kuwait,0,7b41de19cbcda2550786bf9cde2112c64e453acd2fd8b9262b9cf47c1a91e5fe,|,1
V146,Atayal/Latvia.xml,Wiki_Atayal_Latvia,0,1b1aec786995f97c57568ba6cafc619c278aad189a313a08d31731d862be4d9d,|,1
V146,Atayal/Taur_Matan_Ruak.xml,Wiki_Atayal_Taur_Matan_Ruak,0,df33ee61baf7cf3b827288db4fc55e6be8afaf0660d4cf6af586900db8feb307,|,3
V146,Atayal/Zihing.xml,Wiki_Atayal_Zihing,0,8dca97db5d79920fbc8da9bc65992459b1774682f08b44d5e33df5fd16892983,|,2
V146,Sakizaya/Aw-say-low.xml,Wiki_Sakizaya_Aw-say-low,0,391f32e9db9a0a272e901ee517a60b2e00ef9aec0d5a41fd215f62076471d05d,|,4
V146,Sakizaya/Bhutan.xml,Wiki_Sakizaya_Bhutan,0,94d00709e9a0c725e1c8e8f5c4f90bdce31ec3d5586a4d5c18651448d5ba62a2,|,2
V146,"Sakizaya/Kuan_Yuan_u_pasimalan_tu_kazizeng_u_tulakang_niza_pakaala_tu_2374_depah,_malingatu_tu_pacakay_tu_“Yunduan_pacang”.xml","Wiki_Sakizaya_Kuan_Yuan_u_pasimalan_tu_kazizeng_u_tulakang_niza_pakaala_tu_2374_depah,_malingatu_tu_pacakay_tu_“Yunduan_pacang”",0,bb4c30d195c1cf3507c6b52602e8a888244099f6c8a969f8f97df5f53d667605,|,2
V146,Sakizaya/Lohok.xml,Wiki_Sakizaya_Lohok,0,e351e1db817d1c4e24f1aad4746ba824d46b62107f53d3d7a322118bf31ce6f6,|,1
V146,Sakizaya/apap.xml,Wiki_Sakizaya_apap,0,3896bb2a2c77304603cf5a1d80fd53012a2a7e65b4c39ca7616420cd747bf98e,|,3
V146,Sakizaya/kakawit.xml,Wiki_Sakizaya_kakawit,0,3d7e5dfd12d7c0acf33a6011816b1db4d43c320487f27a5eba1be23be5f89b31,|,2
V146,Sakizaya/sow-lin-nang.xml,Wiki_Sakizaya_sow-lin-nang,0,80b79aa1aefe3ed476a864979cb3275abbb21025d12d7c03b1551bfbcacaebe4,|,2
