letter	IPA
ng	ŋ
'	ʔ
a	a
c	ʦ
e	e
i	i
k	k
l	ɾ
m	m
n	n
o	o
r	r
t	t
u	u
v	v
ɨ	ɨ
ʉ	ɨ
