level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	9	0	3	2	638.39	97.33	17.23	9.37	100	Proto
4	1	9	0	4	0	623.759995	107.408934	31.166233	9.369234	-1	###LINE###
5	1	9	0	4	0	623.76	107.41	31.17	9.37	100	Formosan
3	1	10	0	0	0	74.760000	120.008925	206.561131	9.369234	-1	###FLOW###
4	1	10	0	0	0	74.760000	120.008925	206.561131	9.369234	-1	###LINE###
5	1	10	0	0	0	74.76	120.01	13.34	9.37	100	Key:
5	1	10	0	0	1	89.73	120.01	12.62	9.37	100	rdpl
5	1	10	0	0	2	104.04	120.01	3.82	9.37	100	=
5	1	10	0	0	3	109.56	120.01	43.84	9.37	100	reduplication;
5	1	10	0	0	4	155.04	120.01	12.41	9.37	100	LOC
5	1	10	0	0	5	169.06	120.01	3.82	9.37	100	=
5	1	10	0	0	6	174.57	120.01	26.56	9.37	100	locative;
5	1	10	0	0	7	202.83	120.01	9.46	9.37	100	AO
5	1	10	0	0	8	213.98	120.01	3.82	9.37	100	=
5	1	10	0	0	9	219.49	120.01	46.14	9.37	100	Actor-oriented
5	1	10	0	0	10	267.32	120.01	14.00	9.37	100	verb
3	1	11	0	0	0	623.759995	120.008925	37.959257	29.529237	-1	###FLOW###
4	1	11	0	0	0	623.759995	120.008925	37.959257	9.369234	-1	###LINE###
5	1	11	0	0	0	623.76	120.01	6.49	9.37	100	A:
5	1	11	0	0	1	631.95	120.01	3.82	9.37	100	=
5	1	11	0	0	2	637.46	120.01	24.26	9.37	100	Adelaar
4	1	11	0	1	0	623.759995	130.088926	36.224905	9.369234	-1	###LINE###
5	1	11	0	1	0	623.76	130.09	17.27	9.37	100	2011,
5	1	11	0	1	1	642.73	130.09	4.99	9.37	100	Li
5	1	11	0	1	2	649.41	130.09	3.82	9.37	100	=
5	1	11	0	1	3	654.92	130.09	5.06	9.37	100	Li
4	1	11	0	2	0	623.759995	140.168928	34.370587	9.369234	-1	###LINE###
5	1	11	0	2	0	623.76	140.17	17.27	9.37	100	2009,
5	1	11	0	2	1	642.73	140.17	15.41	9.37	100	2010
3	1	12	0	0	0	74.879997	153.283483	17.123281	10.247634	-1	###FLOW###
4	1	12	0	0	0	74.879997	153.283483	17.123281	10.247634	-1	###LINE###
5	1	12	0	0	0	74.88	153.28	17.12	10.25	100	Deus
3	1	13	0	0	0	147.240005	153.283483	14.138401	10.247634	-1	###FLOW###
4	1	13	0	0	0	147.240005	153.283483	14.138401	10.247634	-1	###LINE###
5	1	13	0	0	0	147.24	153.28	14.14	10.25	100	God
3	1	14	0	0	0	222.480011	153.283483	14.138401	10.247634	-1	###FLOW###
4	1	14	0	0	0	222.480011	153.283483	14.138401	10.247634	-1	###LINE###
5	1	14	0	0	0	222.48	153.28	14.14	10.25	100	God
3	1	15	0	0	0	288.599991	153.283483	17.123281	10.247634	-1	###FLOW###
4	1	15	0	0	0	288.599991	153.283483	17.123281	10.247634	-1	###LINE###
5	1	15	0	0	0	288.60	153.28	17.12	10.25	100	Deus
3	1	16	0	0	0	370.559990	153.283483	14.138401	10.247634	-1	###FLOW###
4	1	16	0	0	0	370.559990	153.283483	14.138401	10.247634	-1	###LINE###
5	1	16	0	0	0	370.56	153.28	14.14	10.25	100	God
3	1	17	0	0	0	453.599991	153.283483	3.796664	10.247634	-1	###FLOW###
4	1	17	0	0	0	453.599991	153.283483	3.796664	10.247634	-1	###LINE###
5	1	17	0	0	0	453.60	153.28	3.80	10.25	100	y
3	1	18	0	0	0	74.879997	175.603491	43.775693	10.247634	-1	###FLOW###
4	1	18	0	0	0	74.879997	175.603491	43.775693	10.247634	-1	###LINE###
5	1	18	0	0	0	74.88	175.60	17.12	10.25	100	Deus
5	1	18	0	0	1	93.81	175.60	24.85	10.25	100	samma
3	1	19	0	0	0	147.240005	175.603491	46.143982	10.247634	-1	###FLOW###
4	1	19	0	0	0	147.240005	175.603491	46.143982	10.247634	-1	###LINE###
5	1	19	0	0	0	147.24	175.60	14.14	10.25	100	God
5	1	19	0	0	1	163.28	175.60	8.59	10.25	100	de
5	1	19	0	0	2	173.88	175.60	19.51	10.25	100	vader
3	1	20	0	0	0	222.480011	175.603491	47.033825	10.247634	-1	###FLOW###
4	1	20	0	0	0	222.480011	175.603491	47.033825	10.247634	-1	###LINE###
5	1	20	0	0	0	222.48	175.60	14.14	10.25	100	God
5	1	20	0	0	1	238.52	175.60	8.59	10.25	100	de
5	1	20	0	0	2	249.12	175.60	20.40	10.25	100	Vader
3	1	21	0	0	0	288.599991	175.603491	43.775693	10.247634	-1	###FLOW###
4	1	21	0	0	0	288.599991	175.603491	43.775693	10.247634	-1	###LINE###
5	1	21	0	0	0	288.60	175.60	17.12	10.25	100	Deus
5	1	21	0	0	1	307.53	175.60	24.85	10.25	100	samma
3	1	22	0	0	0	370.559990	175.603491	51.604771	10.247634	-1	###FLOW###
4	1	22	0	0	0	370.559990	175.603491	51.604771	10.247634	-1	###LINE###
5	1	22	0	0	0	370.56	175.60	14.14	10.25	100	God
5	1	22	0	0	1	386.60	175.60	11.40	10.25	100	the
5	1	22	0	0	2	399.91	175.60	22.26	10.25	100	Father
3	1	23	0	0	0	453.599991	175.603491	3.796664	10.247634	-1	###FLOW###
4	1	23	0	0	0	453.599991	175.603491	3.796664	10.247634	-1	###LINE###
5	1	23	0	0	0	453.60	175.60	3.80	10.25	100	y
3	1	24	0	0	0	514.800018	175.603491	17.705124	10.247634	-1	###FLOW###
4	1	24	0	0	0	514.800018	175.603491	17.705124	10.247634	-1	###LINE###
5	1	24	0	0	0	514.80	175.60	17.71	10.25	100	rama
3	1	25	0	0	0	74.879997	197.923487	38.349848	10.247634	-1	###FLOW###
4	1	25	0	0	0	74.879997	197.923487	38.349848	10.247634	-1	###LINE###
5	1	25	0	0	0	74.88	197.92	17.12	10.25	100	Deus
5	1	25	0	0	1	93.81	197.92	19.42	10.25	100	allack
3	1	26	0	0	0	147.240005	197.923487	43.513301	10.247634	-1	###FLOW###
4	1	26	0	0	0	147.240005	197.923487	43.513301	10.247634	-1	###LINE###
5	1	26	0	0	0	147.24	197.92	14.14	10.25	100	God
5	1	26	0	0	1	163.28	197.92	8.59	10.25	100	de
5	1	26	0	0	2	173.88	197.92	16.88	10.25	100	Sone
3	1	27	0	0	0	222.480011	197.923487	43.513301	10.247634	-1	###FLOW###
4	1	27	0	0	0	222.480011	197.923487	43.513301	10.247634	-1	###LINE###
5	1	27	0	0	0	222.48	197.92	14.14	10.25	100	God
5	1	27	0	0	1	238.52	197.92	8.59	10.25	100	de
5	1	27	0	0	2	249.12	197.92	16.88	10.25	100	Sone
3	1	28	0	0	0	288.599991	197.923487	38.349848	10.247634	-1	###FLOW###
4	1	28	0	0	0	288.599991	197.923487	38.349848	10.247634	-1	###LINE###
5	1	28	0	0	0	288.60	197.92	17.12	10.25	100	Deus
5	1	28	0	0	1	307.53	197.92	19.42	10.25	100	allack
3	1	29	0	0	0	370.559990	197.923487	42.044436	10.247634	-1	###FLOW###
