normalized_original,normalized_standard,expected_severity,xml_ids,source_locators,rationale
rahpal,rahpal,SOFT,S_klaproth_formosan_sideia_foot | S_sida_foot,printed p. 315 / Klaproth Formosan Sideia / Foot | printed p. 318 / Sida / Foot,Two distinct source cells independently print the same form for foot.
rima,rima,SOFT,S_favorlang_hand | S_sida_hand,printed p. 317 / Favorlang / Hand | printed p. 317 / Sida / Hand,Two distinct source varieties independently print the same form for hand.
