xml_path,validator_rule,action,element_tag,xml_id,field_tag,field_kind,before_sha256,after_sha256
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_498_W4,FORM,,ce166d7f0503d629ca0fccc4766def3c2e3156724c77307a50fa96c7d1e1130e,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_498_W5,FORM,,3272666c41dabaa827c3fac6ce1361726b4aad771887f1f98c40e228ad731e4c,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_499_W2,FORM,,8bb876483487c3e6c49e45cc68599f56c9c3ae7c3a60463c5900daeb9ff53af4,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_537_W0,FORM,,6acd800e07a633811cf8555f416f7ea482d3f63e0115e52326af4a884b86c8ec,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_552_W7,FORM,,f12c66e907b82f26962accb88b275793e8b3777997c23f9331639ea5c2fa8f9c,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_554_W2,FORM,,33c314ac519f88f8a4e7813367ccecd684301e923453c784e56eee79785058d9,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_566_W0,FORM,,2a0d765cd35c0c15c6a8c0336ec0be3b0afdf2dee0ffe49005433663af141361,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_567_W0,FORM,,a98932b9f65dc0651548d4705fc106d3562d7d6eec16d3ff04d82446858aab8a,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_625_W0,FORM,,08cf758c877ec1b2ac9f44d68af3567a682eef23694efc42f6b81a15b072dcbc,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_637_W1,FORM,,14102659c1c42f925841ff5850a72883f4a2c6fce0f9f887bfea141b6124878f,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_638_W1,FORM,,99758aa981ae65737325f4fed383ea2dfb3c8b1bbc11ddc871a5a45832ed45fe,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,63_S_686_W0,FORM,,cba5d16e56bcbec8375e08f96f437fbebf45c6e31857abd73cd5897234b6e51c,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,39_S_42_W0,FORM,,d991341247db4acf96d727d12f37f46b9d6962afcb0f0d0024d143bb476ab18c,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,39_S_54_W1,FORM,,f0036c2d23ee5f9fc5d87448b090104bc964f5b71acc426fc9aeb280836963ec,
Sentences/Bunun/Bunun.xml,V121,remove_annotated_lexical_unit,W,39_S_55_W1,FORM,,9af3ae00005d158471ec481bb0b0cc170892091a62a273842af76da682ce814c,
