file,level,id,form_original,eng_gloss,zho_gloss,category
Stories/Rukai/Rukai_RukaiNr-swing_taugadhu.xml,W,RukaiNr-swing_taugadhu_S_73_W4,ka,斜格,斜格,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-swing_taugadhu.xml,M,RukaiNr-swing_taugadhu_S_73_W4M1,ka,斜格,斜格,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-swing_taugadhu.xml,W,RukaiNr-swing_taugadhu_S_73_W5,sauvalay,男生,男生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-swing_taugadhu.xml,M,RukaiNr-swing_taugadhu_S_73_W5M1,sauvalay,男生,男生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-princess balenge_balenge.xml,W,RukaiNr-princess balenge_balenge_S_52_W0,lu-i,FUT-處所,未來-LOC,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_29_W0,la,la,then,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_29_W0M1,la,la,then,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_29_W1,kaina,kai-ana,NEG-not.yet,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_29_W1M2,,ana,not.yet,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_35_W0,alaka,alaka,turn.out.to.be,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_35_W0M1,alaka,alaka,turn.out.to.be,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_35_W1,miakaw,miakaw,be.like,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_35_W1M1,miakaw,miakaw,be.like,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_35_W2,wacekecekele,w-a-ceke-cekele,ACT-RLS-RED-tribe,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_35_W2M4,,cekele,tribe,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_35_W3,kudra,kudra,that.INV,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_35_W3M1,kudra,kudra,that.INV,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,W,RukaiNr-frog_Waecacane_S_35_W4,tathathatha,tathathatha,groups.of,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-frog_Waecacane.xml,M,RukaiNr-frog_Waecacane_S_35_W4M1,tathathatha,tathathatha,groups.of,english-only glossing in source (no zh available)
Stories/Rukai/Rukai_RukaiNr-becenge_tagas.xml,M,RukaiNr-becenge_tagas_S_11_W30M2,<lrua>,<RED>,<lrua>,echo gloss (source echo row; name/untranslated)
Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,W,RukaiNr-frog_Bajiaying_S_45_W2,kuini,那.可見.近指,那.可見.近指,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,M,RukaiNr-frog_Bajiaying_S_45_W2M1,kuini,那.可見.近指,那.可見.近指,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,W,RukaiNr-naming_taugadhu_S_19_W21,tha-tha-ane,RED-很多-NMLZ,重疊-很多-名物化,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,M,RukaiNr-naming_taugadhu_S_19_W21M2,tha,很多,很多,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,W,RukaiNr-naming_taugadhu_S_31_W22,ucugu=su,incident=第二人稱單數.附著屬格,事故=2S.BG,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,W,RukaiNr-naming_taugadhu_S_33_W1,nagane=ta,name=第一人稱複數 .附著屬格,名字=1P .BG,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,W,RukaiNr-naming_taugadhu_S_46_W15,ma-ib-ibibu=ta,狀態.實現-RED-mix=NMLZ=1P .BG,STAT.RLS-重疊-混合=第一人稱複數 .附著屬格,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-naming_taugadhu.xml,W,RukaiNr-naming_taugadhu_S_53_W26,nagane=su,name=第二人稱單數.附著屬格,名字=2S.BG,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-pear_Legeai.xml,W,RukaiNr-pear_Legeai_S_1_W1,y-a-kay,處所-實現-這,存在,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-pear_Legeai.xml,M,RukaiNr-pear_Legeai_S_1_W1M1,y,處所,存在,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-marriage ceremony_taugadha.xml,M,RukaiNr-marriage ceremony_taugadha_S_16_W8M2,<ela>,<RED>,<ela>,echo gloss (source echo row; name/untranslated)
Stories/Rukai/Rukai_RukaiNr-marriage ceremony_taugadha.xml,M,RukaiNr-marriage ceremony_taugadha_S_90_W15M2,<lra>,<RED>,<lra>,echo gloss (source echo row; name/untranslated)
Stories/Rukai/Rukai_RukaiNr-work by men and women_taugadhu.xml,W,RukaiNr-work by men and women_taugadhu_S_65_W12,la-ababay,PL-女生,複數-女生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-work by men and women_taugadhu.xml,M,RukaiNr-work by men and women_taugadhu_S_65_W12M2,ababay,女生,女生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-childhood_balenge.xml,W,RukaiNr-childhood_balenge_S_31_W7,malra,拿,拿,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-childhood_balenge.xml,M,RukaiNr-childhood_balenge_S_31_W7M1,malra,拿,拿,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-childhood_balenge.xml,W,RukaiNr-childhood_balenge_S_37_W11,situ,學生,學生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Rukai/Rukai_RukaiNr-childhood_balenge.xml,M,RukaiNr-childhood_balenge_S_37_W11M1,situ,學生,學生,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
