letter	IPA
ŋ	ŋ
p	p
t	t
k	k
c	ʦ
ʔ	ʔ
Ɂ	ʔ
v	v
s	s
m	m
n	n
l	ɾ
r	r
h	h
a	a
ə	ə
i	i
u	u
e	e
o	o
y	j
w	w
