letter	IPA
θ	θ
ʃ	ʃ
ŋ	ŋ
ɬ	ɬ
ð	ð
ʔ	ʔ
f	ɸ
y	j
p	p
b	b
t	t
d	d
k	k
q	q
s	s
h	h
m	m
n	n
r	r
l	l
w	w
i	i
a	a
u	u
S	ʃ
D	ð
á	a
ú	u
