language,dialect,segmented_sentences,glossed_proportion,audio_count,audio_time,eng_transl_count,zho_transl_count,word_count,file_count
ami,,0,0.0,0,0.0,0,0,1772368,1892
pwn,,0,0.0,0,0.0,0,0,124479,475
szy,,0,0.0,0,0.0,0,0,1344333,5346
tay,,0,0.0,0,0.0,0,0,417534,2874
trv,,0,0.0,0,0.0,0,0,754287,2023
