source_id	variant_id	original	gloss	translation	evidence
tsukida2014_seediq_S005	tsukida2014_seediq_S005	Laqi gaga 'u, malu.	child DIST PTC AV.good	As for that child, s/he is good.	POL-026 base variant omits source-parenthesized ka hiya and its aligned NOM 3SG glosses.
tsukida2014_seediq_S005	tsukida2014_seediq_S005v2	Laqi gaga 'u, malu ka hiya.	child DIST PTC AV.good NOM 3SG	As for that child, s/he is good.	POL-026 expanded variant includes source-parenthesized ka hiya and its aligned NOM 3SG glosses.
tsukida2014_seediq_S008	tsukida2014_seediq_S008	Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika.	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America	The guest to whom that Yudaw is talking over there is from America.	POL-026 base variant omits source-parenthesized ka lupuŋ gaga and its aligned NOM guest DIST glosses.
tsukida2014_seediq_S008	tsukida2014_seediq_S008v2	Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika ka lupuŋ gaga.	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST	The guest to whom that Yudaw is talking over there is from America.	POL-026 expanded variant includes source-parenthesized ka lupuŋ gaga and its aligned NOM guest DIST glosses.
