letter	Xiuguluan
ng	ŋ
p	p
t	t
k	k
q	ʡ
'	ʔ
c	ʦ
f	f
d	[ɬ|ɮ]
s	s
x	x
h	ħ
m	m
n	n
r	r
l	ɾ
w	w
y	j
i	i
e	ə
a	a
u	[o|u]
o	[o|u]
:	:
