rule_id,file,s_id,character,position
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Ni-ke-la-se_Ma-tu-luo.xml,0,ˈ,130
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Ni-ke-la-se_Ma-tu-luo.xml,0,ˈ,914
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Ni-ke-la-se_Ma-tu-luo.xml,0,ˈ,921
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Ni-ke-la-se_Ma-tu-luo.xml,0,ˈ,927
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Pu-cya-le-s-te.xml,0,ˈ,96
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Pu-cya-le-s-te.xml,0,ˈ,550
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/u_kamu_nu_Aliwsen.xml,0,*,1251
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/u_kamu_nu_Aliwsen.xml,0,*,1266
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Pa-si-li-ya.xml,0,ˈ,67
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Pa-si-li-ya.xml,0,ˈ,338
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Lithuania.xml,0,ˈ,834
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Muo-san-pi-ke’.xml,0,ˈ,120
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Muo-san-pi-ke’.xml,0,ˈ,137
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Muo-san-pi-ke’.xml,0,ˈ,938
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Sakizaya/Muo-san-pi-ke’.xml,0,ˈ,955
