letter	IPA
a	a
b	b
ch	ʨ
d	ɖ
e	ə
g	g
ǥ	ɰ
i	i
k	k
l	l
m	m
n	n
ng	ŋ
o	o
p	p
r	ɻ
ř	*
s	ʂ
t	t
u	o
v	f
w	w
y	j
?	ʔ
