letter	Wutai	Eastern	Dona	Wanshan	Maolin
rh	ɖ	ɖ	NA	NA	ɖ
th	θ	θ	θ	NA	θ
lh	l	l	l	l	l
ng	ŋ	ŋ	ŋ	ŋ	ŋ
z	ð	ð	[ð|z]	ð	NA
l	ɭ	ɭ	ɭ	ɭ	ɭ
_	NA	NA	NNA	NA	
p	p	p	p	p	p
b	b	b	b	NA	b
t	t	t	t	t	t
d	d	d	d	NA	[d|ð]
k	k	k	k	k	k
g	g	g	g	g	g
'	NA	ʔ	ʔ	ʔ	NA
c	ʦ	ʦ	ʦ	ʦ	ʦ
v	v	v	v	v	v
s	s	s	s	s	s
h	h	h	h	h	h
m	m	m	m	m	m
n	n	n	n	n	n
r	NA	NA	NA	r	r
w	w	w	w	w	w
y	j	j	j	j	[j|ɨ]
i	i	i	i	i	i
e	ə	ə	ə	ə	[ə|e]
a	a	a	a	a	a
u	[o|u]	[o|u]	NA	NA	u
o	NA	NA	[o|u]	[o|u]	o
