letter	Sekolik	default
ng	ŋ		ŋ
n_g	nɣ	nɣ
p	p	p
t	t	t
k	k	k
q	q	q
'	ʔ	ʔ
c	ʦ	ʦ
b	β	β
s	s	s
z	z	z
x	x	x
g	ɣ	ɣ
h	ħ	ħ
m	m	m
n	n	n
r	r	r
l	l	l
w	w	w
y	j	j
i	i	i
e	ə	ə
a	a	a
u	u	u
o	o	o
