letter	IPA
ng	ŋ
g	ŋ
p	p
t	t
k	k
'	ʡ
^	ʔ
c	ʦ
f	[f|v|b]
d	ɬ
s	s
x	x
h	ħ
m	m
n	n
r	r
l	ɾ
w	w
y	j
i	i
e	ə
a	a
u	u	
o	o
