letter	IPA
sh	ʃ
ng	ŋ
T	ʈ
D	ɖ
L	ɭ
'	ʔ
e	ə
ŋ	ŋ
ɖ	ɖ
ə	ə
ɛ	ɛ
ɭ	ɭ
ʈ	ʈ
ʔ	ʔ
ʤ	ʤ
a	a
b	b
c	c
d	d
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
