section	source_url	records	sha256
Welcome	https://ai4commsci.gitbook.io/formosanbank	10	f4b2b025953d88f99475714d7bbc489129546872d1b0dbe1cef2be96b2a87e0f
FormosanBank	https://ai4commsci.gitbook.io/formosanbank/background/formosanbank	29	b9126f021be7f0c5b2295e9116ee404b80414c60b5a92623fd96ee7c4036ba17
Formosan_Languages	https://ai4commsci.gitbook.io/formosanbank/background/quickstart	16	74bd5f9a75e0e6155220f487e0832755f855588e40db63fdd52ac535f9855a58
Contributors	https://ai4commsci.gitbook.io/formosanbank/background/contributors	9	6e469f76634831d5617a9562c48f2374f022b5f3a223d744ae08ad7a43f21cfd
Terms_of_Use	https://ai4commsci.gitbook.io/formosanbank/additional-resources/terms-of-use	13	60c0a9aaa2ff47b83a19be2b6e8ee34a52d92bcc563e9290abf60727182517b9
Contributing_to_FormosanBank	https://ai4commsci.gitbook.io/formosanbank/additional-resources/contributing-to-formosanbank	28	aa4d0fdcfec0bc96ce60bbdb70bcaa54f25ee2480a6cc8406c033239d2dbca53
