letter	IPA
ng	ŋ
ay	aɪ
oy	ɔɪ
p	p
f	f
s	s
t	t
c	ʦ
k	k
m	m
n	n
g	ŋ
r	r
l	l
w	w
j	j
h	h
x	x
d	ɬ
'	ʡ
i	ɪ
e	ə
a	a
u	u	
o	o
