letter	Zhuoqun
a	a
á	á
b	b
c	c
d	d
h	h
i	i
í	í
j	j
k	k
l	l
m	m
n	n
p	p
q	q
s	s
t	t
u	u
ú	ú
v	v
ð	ð
ŋ	ŋ
ʔ	ʔ
