record_id,pair,source_phrase_clean,target_phrase_clean,action,reference_status,reason,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_evidence,xml_record_id,xml_target_text,xml_translation_ver,source_url,raw_path
GLOSBE_DICT_9c49ac0a8cd3b66b,"ami,en",miheca,year,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,年,age; since; year,年,GLOSBE_DICT_GROUP_8e593f86bd1306a2,year,alt,https://glosbe.com/ami/en/miheca,data/raw/html/static/ami_en/miheca.html
GLOSBE_DICT_b55198380a2b46d2,"ami,en",nanom,water,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,水,water,,GLOSBE_DICT_GROUP_692b00970b6c5afc,water,primary,https://glosbe.com/ami/en/nanom,data/raw/html/static/ami_en/nanom.html
GLOSBE_DICT_e728ba3ab032e6f0,"ami,en",ngaˈay,if,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,好,if,好,GLOSBE_DICT_GROUP_ada25d4faeec702d,if,primary,https://glosbe.com/ami/en/nga%CB%88ay,data/raw/html/static/ami_en/nga%CB%88ay.html
GLOSBE_DICT_8c390e8ba7923948,"ami,en",ngaˈayay,respect,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,好的,respect,好的; 好,GLOSBE_DICT_GROUP_30af694bc64ac0ca,respect,primary,https://glosbe.com/ami/en/nga%CB%88ayay,data/raw/html/static/ami_en/nga%CB%88ayay.html
GLOSBE_DICT_6f8a241c3aabb9ed,"ami,en",nira,her,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,他的,her; his,他; 他的,GLOSBE_DICT_GROUP_c22a508eb9dbc736,her,primary,https://glosbe.com/ami/en/nira,data/raw/html/static/ami_en/nira.html
GLOSBE_DICT_e7d693fa682eb41b,"ami,en",nira,his,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,他的,her; his,他; 他的,GLOSBE_DICT_GROUP_c22a508eb9dbc736,his,alt,https://glosbe.com/ami/en/nira,data/raw/html/static/ami_en/nira.html
GLOSBE_DICT_4c4edebbb8e0d389,"ami,en",no,of,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,格位標記（屬格）,of,格位標記; 屬格,GLOSBE_DICT_GROUP_3d68837a9e357bc3,of,primary,https://glosbe.com/ami/en/no,data/raw/html/static/ami_en/no.html
GLOSBE_DICT_a8972cd8f7d69b85,"ami,en",roma,another,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,另外,another; different; other,另外,GLOSBE_DICT_GROUP_7d534cdaea9ceb56,another,primary,https://glosbe.com/ami/en/roma,data/raw/html/static/ami_en/roma.html
GLOSBE_DICT_c4cb32d677b1809f,"ami,en",roma,different,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,另外,another; different; other,另外,GLOSBE_DICT_GROUP_7d534cdaea9ceb56,different,alt,https://glosbe.com/ami/en/roma,data/raw/html/static/ami_en/roma.html
GLOSBE_DICT_e8d267ffb1871c7c,"ami,en",roma,other,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,另外,another; different; other,另外,GLOSBE_DICT_GROUP_7d534cdaea9ceb56,other,alt,https://glosbe.com/ami/en/roma,data/raw/html/static/ami_en/roma.html
GLOSBE_DICT_d71275e961b5e6fc,"ami,en",salikaka,siblings,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,兄弟姐妹,siblings; sister,兄弟姐妹,GLOSBE_DICT_GROUP_279da0d7d909e456,siblings,primary,https://glosbe.com/ami/en/salikaka,data/raw/html/static/ami_en/salikaka.html
GLOSBE_DICT_c37ecdbf7eb720f2,"ami,en",salikaka,sister,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,兄弟姐妹,siblings; sister,兄弟姐妹,GLOSBE_DICT_GROUP_279da0d7d909e456,sister,alt,https://glosbe.com/ami/en/salikaka,data/raw/html/static/ami_en/salikaka.html
GLOSBE_DICT_9a478a95902d0fbe,"ami,en",sowal,language,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,話語,language; say; state,話語; 話,GLOSBE_DICT_GROUP_7850fe02f622e706,language,primary,https://glosbe.com/ami/en/sowal,data/raw/html/static/ami_en/sowal.html
GLOSBE_DICT_6b5678cf4349ca9d,"ami,en",sowal,say,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,話語,language; say; state,話語; 話,GLOSBE_DICT_GROUP_7850fe02f622e706,say,alt,https://glosbe.com/ami/en/sowal,data/raw/html/static/ami_en/sowal.html
GLOSBE_DICT_7f44175b96ecd713,"ami,en",sowal,state,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,話語,language; say; state,話語; 話,GLOSBE_DICT_GROUP_7850fe02f622e706,state,alt,https://glosbe.com/ami/en/sowal,data/raw/html/static/ami_en/sowal.html
GLOSBE_DICT_286493621068eb8d,"ami,en",tamdaw,man,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,人,man; perfect; root,人,GLOSBE_DICT_GROUP_1e7c8e883ce09c63,man,primary,https://glosbe.com/ami/en/tamdaw,data/raw/html/static/ami_en/tamdaw.html
