language,dialect,segmented_sentences,glossed_proportion,audio_count,audio_time,eng_transl_count,zho_transl_count,word_count,file_count
pwn,Central,0,0.0,158,3034.0,0,0,3136,8
pwn,Eastern,0,0.0,503,9841.0,0,0,10688,32
pwn,Northern,0,0.0,874,16554.0,0,0,20672,58
