severity,code,unit_id,unit_type,sentence_id,message
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW1M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW1M3,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW1M4,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024BW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028AW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028AW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028BW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028BW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028CW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028C,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028CW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028C,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001DW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001D,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001DW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001D,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW2M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW4M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW4M3,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004AW4M4,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW2M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW3M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW3M3,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004BW4M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E004B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003AW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003AW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003AW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003AW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW1M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW4M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW4M3,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW4M4,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003BW5M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E003B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW1M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW1M3,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW3M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW4M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012AW5M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E012A,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038BW1M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038BW1M2,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038B,legacy morpheme had no source gloss and is not retained as a supported M unit
INFO,RETIRED_UNGLOSSED_MORPHEME,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038BW2M1,M,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038B,legacy morpheme had no source gloss and is not retained as a supported M unit
